toponimo	provincia	lon	lat
lübesse	gemeinde (MV)	11.459329	53.487188
lüblow	gemeinde (MV)	11.451855	53.416399
rastow	gemeinde (MV)	11.430042	53.451967
sülstorf	gemeinde (MV)	11.378026	53.510773
uelitz	gemeinde (MV)	11.438695	53.475682
warlow	gemeinde (MV)	11.407922	53.344082
wöbbelin	gemeinde (MV)	11.503027	53.399572
blievenstorf	gemeinde (MV)	11.660515	53.362153
brenz	gemeinde (MV)	11.663717	53.380452
neustadt-glewe	stadt (MV)	11.585348	53.383153
domsühl	gemeinde (MV)	11.771497	53.487338
groß godems	gemeinde (MV)	11.795175	53.363785
karrenzin	gemeinde (MV)	11.801777	53.338856
lewitzrand	gemeinde (MV)	11.688075	53.48347
rom	gemeinde (MV)	11.949777	53.445358
spornitz	gemeinde (MV)	11.718505	53.407009
stolpe	gemeinde (MV)	11.735379	53.358156
ziegendorf	gemeinde (MV)	11.809046	53.295443
zölkow	gemeinde (MV)	11.822657	53.562753
obere warnow	gemeinde (MV)	11.864852	53.515875
barkhagen	gemeinde (MV)	12.210565	53.496939
plau am see	stadt (MV)	12.264665	53.459171
ganzlin	gemeinde (MV)	12.251489	53.38328
blankenberg	gemeinde (MV)	11.709013	53.770686
borkow	gemeinde (MV)	11.951301	53.663979
brüel	stadt (MV)	11.713735	53.73778
dabel	gemeinde (MV)	11.903641	53.66105
hohen pritz	gemeinde (MV)	11.89155	53.628644
kobrow	gemeinde (MV)	11.81276	53.677699
kuhlen-wendorf	gemeinde (MV)	11.664236	53.670364
mustin	gemeinde (MV)	11.973846	53.696025
sternberg	stadt (MV)	11.828186	53.711133
weitendorf	gemeinde (MV)	11.750473	53.718011
witzin	gemeinde (MV)	11.919943	53.723695
kloster tempzin	gemeinde (MV)	11.673399	53.758799
dümmer	gemeinde (MV)	11.206935	53.578516
holthusen	gemeinde (MV)	11.35391	53.542809
klein rogahn	gemeinde (MV)	11.346171	53.606116
pampow	gemeinde (MV)	11.360257	53.568681
schossin	gemeinde (MV)	11.217915	53.544627
stralendorf	gemeinde (MV)	11.300046	53.574587
warsow	gemeinde (MV)	11.302118	53.531366
wittenförden	gemeinde (MV)	11.330149	53.626663
zülow	gemeinde (MV)	11.271356	53.577237
wittenburg	stadt (MV)	11.074364	53.511635
wittendörp	gemeinde (MV)	11.115671	53.534073
gallin	gemeinde (MV)	10.832835	53.493652
kogel	gemeinde (MV)	10.943267	53.499281
lüttow-valluhn	gemeinde (MV)	10.888429	53.53056
vellahn	gemeinde (MV)	10.966499	53.401744
zarrentin am schaalsee	stadt (MV)	10.91548	53.55292
banzkow	gemeinde (MV)	11.515283	53.523242
barnin	gemeinde (MV)	11.695487	53.59356
bülow	gemeinde (MV)	11.769151	53.59059
cambs	gemeinde (MV)	11.527133	53.696104
crivitz	stadt (MV)	11.64833	53.57795
demen	gemeinde (MV)	11.765585	53.629942
dobin am see	gemeinde (MV)	11.503926	53.729836
friedrichsruhe	gemeinde (MV)	11.754554	53.527215
gneven	gemeinde (MV)	11.566038	53.636352
langen brütz	gemeinde (MV)	11.547842	53.65749
leezen	gemeinde (MV)	11.499718	53.66194
pinnow	gemeinde (MV)	11.547517	53.602581
plate	gemeinde (MV)	11.499726	53.551695
raben steinfeld	gemeinde (MV)	11.504063	53.599561
sukow	gemeinde (MV)	11.557591	53.549363
tramm	gemeinde (MV)	11.642541	53.521072
zapel	gemeinde (MV)	11.666057	53.55257
chemnitz	stadt (SN)	12.921602	50.833593
amtsberg	gemeinde (SN)	12.987465	50.747579
annaberg-buchholz	stadt (SN)	13.003162	50.580572
aue-bad schlema	stadt (SN)	12.700986	50.585486
breitenbrunn/erzgeb.	gemeinde (SN)	12.768669	50.474623
crottendorf	gemeinde (SN)	12.936978	50.511355
drebach	gemeinde (SN)	13.018927	50.674606
ehrenfriedersdorf	stadt (SN)	12.969994	50.646799
eibenstock	stadt (SN)	12.599287	50.493785
gelenau/erzgeb.	gemeinde (SN)	12.966024	50.711352
großolbersdorf	gemeinde (SN)	13.087894	50.692693
großrückerswalde	gemeinde (SN)	13.124789	50.63018
grünhain-beierfeld	stadt (SN)	12.787358	50.561375
hohndorf	gemeinde (SN)	12.669884	50.746869
jahnsdorf/erzgeb.	gemeinde (SN)	12.848674	50.739907
johanngeorgenstadt	stadt (SN)	12.721689	50.429487
jöhstadt	stadt (SN)	13.08976	50.51431
lauter-bernsbach	stadt (SN)	12.736115	50.56018
lößnitz	stadt (SN)	12.732369	50.622709
marienberg	stadt (SN)	13.159828	50.651644
mildenau	gemeinde (SN)	13.068688	50.59659
neukirchen/erzgeb.	gemeinde (SN)	12.866884	50.779498
oberwiesenthal	stadt (SN)	12.969165	50.419392
oelsnitz/erzgeb.	stadt (SN)	12.706087	50.724284
olbernhau	stadt (SN)	13.339236	50.659281
pockau-lengefeld	stadt (SN)	13.192592	50.720097
raschau-markersbach	gemeinde (SN)	12.830031	50.53085
schneeberg	stadt (SN)	12.644409	50.594426
schönheide	gemeinde (SN)	12.530147	50.502954
schwarzenberg/erzgeb.	stadt (SN)	12.784811	50.537823
sehmatal	gemeinde (SN)	12.993628	50.516535
stützengrün	gemeinde (SN)	12.526673	50.533915
thalheim/erzgeb.	stadt (SN)	12.849866	50.701048
thermalbad wiesenbad	gemeinde (SN)	13.019326	50.611884
thum	stadt (SN)	12.951245	50.670506
wolkenstein	stadt (SN)	13.067596	50.65634
bärenstein	gemeinde (SN)	13.026565	50.497629
königswalde	gemeinde (SN)	13.045934	50.546776
auerbach	gemeinde (SN)	12.914707	50.685786
